Volumen;Leitfähigkeit;Temperatur
0;4.277;
0.5;16.50;
1.1;35.80;
1.51;44.72;
2.0;56.75;
2.5;68.70;
3.04;81.07;
3.51;89.67;
4.00;99.47;
4.50;110.0;
5.00;119.6;
5.50;130.2;
6.00;139.5;
6.52;148.7;
7.02;158.4;
7.50;167.7;
8.00;176.1;
8.50;184.8;
9.20;197.0;
9.50;202.3;
10.0;211.2;
10.48;220.1;
11.10;229.1;
11.48;236.3;
11.99;245.3;
12.48;253.3;
13.00;261.9;
13.49;264.5;
13.98;277.1;
14.50;283.6;
14.9;293.2;
15.48;300.7;
16.01;308.8;
16.5;315.8;
16.98;323.0;
17.50;330.0;
17.98;336.9;
18.48;344.4;
19.0;351.3;
19.5;358.0;
