Volumen;Leitfähigkeit;Temperatur
0;2.229;20.1
0.506;2.250;20.2
1.002;2.270;20.3
1.524;2.291;20.3
2.006;2.304;20.3
2.500;2.310;20.3
3.000;2.312;20.4
3.506;2.308;20.4
4.010;2.285;20.4
4.504;2.285;20.4
5.004;2.297;20.5
5.500;2.302;20.5
6.004;2.306;20.5
6.518;2.311;20.5
7.000;2.304;20.6
7.504;2.304;20.7
8.010;2.333;20.7
8.512;2.361;20.7
9.010;2.378;20.7
9.508;2.410;20.7
10.012;2.446;20.8
10.506;2.493;20.8
11.002;2.556;20.8
11.504;2.624;20.8
12.008;2.698;20.8
12.506;2.772;20.8
13.008;2.845;20.9
13.504;2.918;20.9
14.010;2.996;20.9
14.500;3.069;20.9
15.004;3.143;21.0
15.504;3.216;21.0
16.008;3.287;21.0
16.512;3.361;21.0
17.006;3.432;21.0
17.502;3.499;21.0
18.002;3.566;21.0
18.502;3.596;21.0
19.008;3.709;21.0
19.500;3.775;21.0
20.000;3.843;21.2
